scenario_name,changed_parameter,changed_value,fluid_Q,sim_Q_mean,sim_Q_std,percent_error_Q,fluid_B,sim_B_mean,sim_B_std,percent_error_B,fluid_RS,sim_RS_mean,sim_RS_std,percent_error_RS,fluid_RL,sim_RL_mean,sim_RL_std,percent_error_RL,fluid_Q_ratio_to_baseline,sim_Q_ratio_to_baseline,fluid_B_ratio_to_baseline,sim_B_ratio_to_baseline,fluid_RS_ratio_to_baseline,sim_RS_ratio_to_baseline,fluid_RL_ratio_to_baseline,sim_RL_ratio_to_baseline
gamma_deltaB_scale,scale,1.0,154.8128880837785,154.76254490480918,3.412552495170365,-0.032518726052103715,55132.59639287037,55147.52168524026,81.24384296142291,0.02707162975516579,102.81288808377847,102.75468430258665,4.35124087404358,-0.05661136680101146,8545.81099196065,8540.917118488771,49.00948440931506,-0.05726634343403252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gamma_deltaB_scale,scale,2.0,154.8128880837785,154.77541402569202,3.373212400406538,-0.024206032553435997,27566.298196435186,27580.286210354472,78.11513169501085,0.05074317131596349,102.81288808377847,102.75529611147091,4.2995764401147385,-0.056016296576197,8545.81099196065,8540.772663913556,48.678481483685836,-0.0589566988063967,1.0,1.0000831539756,0.5,0.5001183256751153,1.0,1.0000059540729302,1.0,0.9999830867606826
