t,Q,B,RS,RL,q,b,rS,rL,Q_difference,B_difference,RS_difference,RL_difference
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,23.41,20.4,0.0,19.18,24.186365144358742,19.41608623784808,0.0,19.35417650049766,-0.776365144358742,0.9839137621519178,0.0,-0.17417650049765854
0.2,26.26,51.25,0.06,50.0,26.274452036414303,50.70602674463178,0.0,50.31504310175201,-0.014452036414301261,0.5439732553682219,0.06,-0.31504310175201056
0.30000000000000004,28.6,83.8,0.21,81.65,27.06576180057611,83.48341002162759,0.0,82.44929201556477,1.5342381994238927,0.31658997837240577,0.21,-0.7992920155647596
0.4,28.82,117.32,0.51,113.58,27.772373956160724,117.13193703894638,0.0,115.13336620668804,1.0476260438392764,0.18806296105361753,0.51,-1.5533662066880396
0.5,28.56,151.44,0.72,146.32,28.460959453310043,151.6013890533987,0.0,148.31226874700164,0.09904054668995599,-0.16138905339869325,0.72,-1.9922687470016456
1.3,38.0,438.91,4.19,417.57,33.90942530175673,452.07103712713786,0.4399996512087365,426.7845911294155,4.090574698243273,-13.161037127137831,3.750000348791264,-9.21459112941551
1.4000000000000001,38.69,476.29,5.17,453.23,34.98349488412989,490.977049444439,0.9598812533491774,462.03615886648737,3.706505115870108,-14.68704944443897,4.2101187466508225,-8.806158866487351
4.4,26.81,1567.84,1.81,1332.6,27.396912037195566,1606.7631078018037,0.18549696443000843,1337.8524846255739,-0.5869120371955674,-38.92310780180378,1.6245030355699916,-5.25248462557397
4.5,27.42,1598.84,1.44,1350.48,27.09717214488811,1638.4851140920796,0.13678993703645778,1356.5007146386295,0.3228278551118926,-39.645114092079666,1.3032100629635421,-6.020714638629443
19.0,55.89,6475.5,27.17,3717.62,55.56874537871311,6548.389720806361,27.11126782560297,3727.4949471814552,0.3212546212868901,-72.88972080636086,0.05873217439703282,-9.874947181455354
19.1,56.03,6506.29,26.07,3722.93,54.94672263821315,6580.210486591776,26.100219126726248,3732.488164594972,1.0832773617868483,-73.92048659177635,-0.030219126726247936,-9.558164594972368
19.200000000000003,52.77,6540.02,25.41,3728.99,54.476808554873436,6611.99426973535,25.210160608507454,3737.260825559742,-1.706808554873433,-71.97426973534948,0.19983939149254581,-8.270825559742207
