scenario,replication,seed,total_arrivals,fresh_arrivals,recertification_arrivals,short_redial_arrivals,long_redial_arrivals,service_successes,service_failures,abandon_lost,abandon_short,abandon_long,total_abandonments,mean_Q,mean_waiting,mean_B,mean_RS,mean_RL,utilization,average_wait_including_abandonments_minutes,average_speed_to_answer_minutes,average_time_to_abandonment_minutes,abandonment_fraction,procedural_denial_rate_per_model_day,total_arrival_rate_per_model_day,effective_arrival_rate_per_model_day,returning_call_rate_per_model_day,final_Q,final_waiting,final_in_service,final_B,final_RS,final_RL,min_Q,min_B,min_RS,min_RL,max_in_service,abandonments_per_fresh_arrival,abandonments_per_external_arrival,redial_arrivals_per_fresh_arrival,redial_arrivals_per_external_arrival,total_attempts_per_fresh_arrival,total_attempts_per_external_arrival,repeat_attempt_share,mean_attempts_before_enrollment,median_attempts_before_enrollment,p90_attempts_before_enrollment,p95_attempts_before_enrollment,max_attempts_before_enrollment,num_completed_enrollments_with_attempt_records
sinusoidal_amp_050,10,20260638,60594,29539,2968,7038,21049,18218,18519,9437,7104,7254,23795,80.91407397250698,49.690031487592016,8098.351581617803,49.397446333886165,3935.9828687116938,0.975751327653619,21.255414457916494,24.81566979788732,15.758751275545897,0.3926956464336403,196.60416666666666,1262.375,766.6458333333334,646.9791666666666,116,84,32,14502,91,5450,0,0,0,0,32,0.8055452114154169,0.7319961854369827,0.9508446460611395,0.8640292859999384,2.0513219811097194,1.8640292859999386,0.4635277420206621,0.7966297068833023,0.0,2.0,3.0,11,18218
sinusoidal_amp_050,11,20260639,60846,29702,3075,7115,20954,18475,18457,9641,7182,7045,23868,81.03737254247949,49.79310085051509,8151.84079563602,48.67202331385892,3885.1235236092793,0.9763834903738684,21.206675613108317,24.845674025541918,15.575894258658941,0.3922690070012819,200.85416666666666,1267.625,770.375,648.8333333333334,135,103,32,14586,106,5290,0,0,0,0,32,0.8035822503535115,0.7281935503554322,0.945020537337553,0.8563626933520456,2.048548919264696,1.8563626933520456,0.4613121651382178,0.7918809201623817,0.0,2.0,3.0,10,18475
sinusoidal_amp_050,12,20260640,60774,29650,3117,7142,20865,18763,18261,9476,7194,7067,23737,80.80228601738598,49.56711868495497,8277.391192819634,49.713496119704274,3895.279703894712,0.9760989791384266,21.13945804064638,24.889539435812246,15.290234736327335,0.3905782077862244,197.41666666666666,1266.125,771.6041666666666,648.4166666666666,88,56,32,14818,89,5227,0,0,0,0,32,0.8005733558178753,0.7244178594317453,0.9445868465430017,0.8547318948942534,2.0497133220910624,1.8547318948942533,0.46083851647085927,0.78441613814422,0.0,2.0,3.0,9,18763
sinusoidal_amp_050,13,20260641,60946,29726,3005,7265,20950,18379,18334,9553,7314,7319,24186,81.65650007841612,50.34632968414737,8069.099502656772,49.866200794138514,3951.0269640890674,0.9784428248209304,21.407667417222637,25.025916927938844,15.915366322088092,0.3968431070127654,199.02083333333334,1269.7083333333333,765.8333333333334,650.4166666666666,118,86,32,14552,89,5440,0,0,0,0,32,0.8136311646370181,0.738932510464086,0.9491690775751868,0.86202682472274,2.050259032496804,1.8620268247227398,0.46295080891280804,0.8020566951411937,0.0,2.0,3.0,14,18379
sinusoidal_amp_050,14,20260642,61280,29934,3120,7166,21060,18578,18471,9740,7219,7206,24165,81.73486417707043,50.481869554204245,8155.416185430204,50.35379806596171,3947.7985636947265,0.9766560819646414,21.350184497113013,24.990444682080398,15.769054780876454,0.3943374673629243,202.91666666666666,1276.6666666666667,773.2291666666666,653.0416666666666,130,98,32,14629,87,5343,0,0,0,0,32,0.8072760072158749,0.7310764204029769,0.9429411371684372,0.8539359835420827,2.0471704416382708,1.8539359835420826,0.4606070496083551,0.7948110668532673,0.0,2.0,3.0,10,18578
sinusoidal_amp_050,15,20260643,59909,29304,3069,6857,20679,18416,18372,9282,6923,6844,23049,79.11615121037222,47.897004269430376,8126.4653876290895,47.72994724227061,3909.214613868833,0.9755983419044422,20.71726631755918,24.17044735727233,15.205720303026336,0.38473351249394916,193.375,1248.1041666666667,767.9166666666666,637.6041666666666,137,105,32,14599,91,5333,0,0,0,0,32,0.7865479115479116,0.7119822073950515,0.9396669396669397,0.8505853643468322,2.0443966693966695,1.8505853643468322,0.45963043949990817,0.7757927888792354,0.0,2.0,3.0,12,18416
sinusoidal_amp_050,16,20260644,60059,29339,3072,6804,20844,18692,18393,9047,6898,6945,22890,79.00275878178807,47.85186254011845,8228.703849657206,46.75298095585188,3887.866106188751,0.9734655075521784,20.648574255811127,23.792404434812983,15.555129861390686,0.3811252268602541,188.47916666666666,1251.2291666666667,774.3541666666666,640.0,135,103,32,14783,108,5229,0,0,0,0,32,0.7801901905313746,0.7062417080620776,0.9423634070690889,0.8530437197247848,2.0470704522989878,1.8530437197247849,0.46034732513028853,0.779638347956345,0.0,2.0,3.0,10,18692
sinusoidal_amp_050,17,20260645,60179,29328,3063,6928,20860,18389,18457,9382,6993,6869,23244,80.11619835201422,48.87635369326224,8096.862013750667,48.01648626528499,3857.392417039222,0.9762451455860112,21.05252055898744,24.448079976216373,15.66993656796965,0.38624769437843764,195.45833333333334,1253.7291666666667,769.4791666666666,642.7291666666666,149,117,32,14560,81,5190,0,0,0,0,32,0.7925531914893617,0.717606742613689,0.9474904528096018,0.8578926244944584,2.05192989634479,1.8578926244944582,0.4617557619767693,0.7756267333732122,0.0,2.0,3.0,10,18389
sinusoidal_amp_050,18,20260646,60949,29702,3118,7118,21011,18640,18636,9336,7206,7078,23620,80.86503153889116,49.433395291535895,8200.640752614492,49.44987470648427,3923.3566133486825,0.9822386327298532,21.022322341309195,24.36371032896886,15.749097166541983,0.3875371211996915,194.5,1269.7708333333333,777.6875,650.9791666666666,117,85,32,14684,101,5474,0,0,0,0,32,0.7952326442663794,0.7196831200487508,0.9470406033263753,0.8570688604509445,2.0520166992121744,1.8570688604509444,0.46151700602142776,0.7873390557939914,0.0,2.0,3.0,10,18640
sinusoidal_amp_050,19,20260647,59778,29455,3028,6815,20480,18565,18167,9202,6859,6922,22983,79.30479668719833,48.1147570959045,8183.043749405832,46.895698064569366,3841.6840596343923,0.9746887372279094,20.858777998302607,24.234669722655582,15.463344207286053,0.384472548429188,191.70833333333334,1245.375,766.5625,631.7291666666666,130,98,32,14674,90,5315,0,0,0,0,32,0.7802749957562384,0.707539328264015,0.9266677983364454,0.8402856878982853,2.029468681038873,1.8402856878982852,0.45660610927096923,0.7809318610288176,0.0,2.0,3.0,11,18565
