t,Q,B,RS,RL
0.0,0.0,0.0,0.0,0.0
0.1,24.55,20.06,0.01,19.64
0.2,28.12,51.93,0.19,50.96
0.30000000000000004,29.33,85.96,0.48,84.64
0.4,30.96,119.73,0.83,119.54
0.5,32.15,154.2,1.28,155.09
0.6,33.96,191.08,2.0,190.44
0.7,35.08,228.83,2.61,226.24
0.7999999999999999,37.76,266.68,3.79,263.71
0.8999999999999999,40.86,304.65,4.96,301.79
0.9999999999999999,44.38,342.45,6.3,340.32
1.0999999999999999,47.08,381.06,8.42,379.49
1.2,50.37,418.83,10.24,420.1
1.3,52.04,457.53,12.93,459.34
1.4000000000000001,54.82,495.69,14.91,500.72
1.5000000000000002,55.89,534.91,16.52,541.65
1.6000000000000003,59.72,572.74,18.47,581.56
1.7000000000000004,60.78,610.64,21.07,622.72
1.8000000000000005,61.28,648.93,22.92,664.09
1.9000000000000006,63.0,688.06,23.91,704.41
2.0000000000000004,63.41,725.85,26.29,745.07
2.1000000000000005,62.74,764.72,27.55,785.35
2.2000000000000006,61.05,804.27,28.29,825.53
2.3000000000000007,61.84,842.67,28.06,865.68
2.400000000000001,61.06,882.17,28.29,902.63
2.500000000000001,59.45,920.48,28.69,940.11
2.600000000000001,58.69,958.93,28.15,976.93
2.700000000000001,58.7,997.04,27.9,1013.41
2.800000000000001,55.09,1034.38,27.33,1051.17
2.9000000000000012,54.81,1072.2,26.18,1085.76
3.0000000000000013,50.78,1112.55,24.28,1119.74
3.1000000000000014,50.23,1150.41,22.77,1150.65
3.2000000000000015,47.51,1189.87,21.18,1181.59
3.3000000000000016,45.51,1226.89,19.64,1211.4
3.4000000000000017,40.95,1266.24,17.71,1240.28
3.5000000000000018,37.36,1304.17,15.24,1268.34
3.600000000000002,35.21,1340.17,12.7,1294.66
3.700000000000002,32.67,1376.45,10.5,1318.44
3.800000000000002,31.7,1410.5,8.69,1340.78
3.900000000000002,29.19,1444.9,7.0,1361.79
4.000000000000002,29.03,1477.5,5.66,1381.55
4.100000000000001,26.95,1509.04,4.32,1399.68
4.200000000000001,26.5,1538.48,3.43,1416.27
4.300000000000001,25.0,1567.83,2.62,1432.21
4.4,24.81,1595.54,1.95,1445.39
4.5,23.1,1622.81,1.47,1458.2
4.6,22.86,1649.47,1.11,1470.11
4.699999999999999,22.26,1675.42,1.02,1480.78
4.799999999999999,21.78,1699.77,0.72,1490.8
4.899999999999999,21.16,1725.09,0.5,1499.87
4.999999999999998,19.89,1748.14,0.43,1509.75
5.099999999999998,20.58,1770.49,0.35,1517.08
5.1999999999999975,19.88,1793.34,0.26,1525.42
5.299999999999997,20.26,1816.12,0.18,1532.94
5.399999999999997,20.69,1838.05,0.15,1541.42
5.4999999999999964,19.89,1861.24,0.12,1550.16
5.599999999999996,20.54,1883.66,0.09,1557.84
5.699999999999996,19.99,1907.25,0.09,1567.14
5.799999999999995,21.78,1931.9,0.05,1575.02
5.899999999999995,21.69,1955.85,0.02,1585.25
5.999999999999995,22.7,1981.34,0.03,1595.84
6.099999999999994,24.02,2007.56,0.05,1606.41
6.199999999999994,23.95,2035.91,0.08,1617.18
6.299999999999994,25.4,2064.2,0.13,1629.56
6.399999999999993,25.92,2094.15,0.21,1642.68
6.499999999999993,27.82,2123.81,0.25,1657.58
6.5999999999999925,30.72,2155.04,0.47,1673.24
6.699999999999992,30.22,2188.8,0.77,1690.59
6.799999999999992,32.14,2222.67,1.01,1707.78
6.8999999999999915,33.78,2256.61,1.64,1726.57
6.999999999999991,36.73,2291.57,2.35,1745.05
7.099999999999991,40.05,2327.6,3.48,1765.54
7.19999999999999,42.34,2363.35,4.86,1786.62
7.29999999999999,44.97,2398.64,7.0,1808.96
7.39999999999999,47.87,2435.14,8.92,1831.94
7.499999999999989,50.03,2471.71,11.31,1856.08
7.599999999999989,54.34,2507.48,14.26,1880.51
