scenario,replication,seed,total_arrivals,fresh_arrivals,recertification_arrivals,short_redial_arrivals,long_redial_arrivals,service_successes,service_failures,abandon_lost,abandon_short,abandon_long,total_abandonments,mean_Q,mean_waiting,mean_B,mean_RS,mean_RL,utilization,average_wait_including_abandonments_minutes,average_speed_to_answer_minutes,average_time_to_abandonment_minutes,abandonment_fraction,procedural_denial_rate_per_model_day,total_arrival_rate_per_model_day,effective_arrival_rate_per_model_day,returning_call_rate_per_model_day,final_Q,final_waiting,final_in_service,final_B,final_RS,final_RL,min_Q,min_B,min_RS,min_RL,max_in_service,abandonments_per_fresh_arrival,abandonments_per_external_arrival,redial_arrivals_per_fresh_arrival,redial_arrivals_per_external_arrival,total_attempts_per_fresh_arrival,total_attempts_per_external_arrival,repeat_attempt_share,mean_attempts_before_enrollment,median_attempts_before_enrollment,p90_attempts_before_enrollment,p95_attempts_before_enrollment,max_attempts_before_enrollment,num_completed_enrollments_with_attempt_records
sinusoidal_amp_025,0,20260628,61493,30101,3055,7056,21281,18832,18938,9264,7134,7220,23618,80.72579333724795,49.06360547510919,8337.870092668845,48.59680148367736,3955.040489495181,0.9894433706918302,20.672610997094147,24.560312300950784,14.455383533013139,0.3840762363195811,193.0,1281.1041666666667,789.0625,654.0,149,117,32,14949,87,5548,0,0,0,0,32,0.7846250955117771,0.7123295934370852,0.9413972957709046,0.8546567740378815,2.0428889405667587,1.8546567740378814,0.46081667832110973,0.7730458793542906,0.0,2.0,3.0,10,18832
sinusoidal_amp_025,1,20260629,60611,29724,3120,6766,21001,18790,18919,9084,6831,6901,22816,78.86004214745125,47.12192425892045,8268.913049095992,47.44859519808387,3947.9386504872787,0.9918161840165292,20.153272885685602,23.860988516341585,14.024881762644828,0.37643332068436425,189.25,1262.7291666666667,787.3958333333334,643.4791666666666,115,83,32,14822,86,5521,0,0,0,0,32,0.7675952092585117,0.6946778711484594,0.9341609473825865,0.8454207770064548,2.0391266316781054,1.8454207770064548,0.45811816336968536,0.7568919638105375,0.0,2.0,3.0,10,18790
sinusoidal_amp_025,2,20260630,61595,30172,3120,7027,21276,18856,18721,9611,7104,7198,23913,81.44025000888276,49.777027722685794,8342.599763745642,48.19518080705817,3950.3480995209047,0.9894756964436796,20.95196573262637,25.004991741567597,14.580987827299072,0.38822956408799414,200.22916666666666,1283.2291666666667,785.0416666666666,654.6458333333334,125,93,32,14941,82,5298,0,0,0,0,32,0.7925560121967387,0.7182806680283551,0.938055150470635,0.8501441787816892,2.0414622829113087,1.8501441787816892,0.4595015829206916,0.7546669495120917,0.0,2.0,3.0,10,18856
sinusoidal_amp_025,3,20260631,60643,29901,3100,6782,20860,18967,18647,9187,6846,6908,22941,79.51828098677655,47.90063420997985,8392.020168361752,47.29415456302974,3946.351642638194,0.9880514617749075,20.47149759415272,24.29872882571183,14.1963798772326,0.3782959286314991,191.39583333333334,1263.3958333333333,785.4583333333334,640.4583333333334,131,99,32,14974,76,5376,0,0,0,0,32,0.7672318651550115,0.6951607527044635,0.9244506872679843,0.8376109814854096,2.0281261496271026,1.8376109814854096,0.4558151806473954,0.7517794063373228,0.0,2.0,3.0,8,18967
sinusoidal_amp_025,4,20260632,60800,29829,3096,6873,21002,18596,18810,9364,6947,7009,23320,80.6296309456898,48.942388837195345,8287.050185652963,46.66505141783804,3925.7384070732023,0.9902263158904355,20.861029935758225,24.74432821543964,14.63209959914745,0.38355263157894737,195.08333333333334,1266.6666666666667,780.8333333333334,645.2291666666666,118,86,32,14653,86,5507,0,0,0,0,32,0.7817895336752825,0.7082763857251329,0.9344932783532803,0.8466211085801063,2.0382848905427604,1.8466211085801063,0.4584703947368421,0.7593568509356851,0.0,2.0,3.0,11,18596
sinusoidal_amp_025,5,20260633,61625,30048,3118,7190,21269,18781,19042,9504,7261,6948,23713,80.37996250957379,48.7240974180307,8330.91850013476,48.95712291457473,3944.3362051272766,0.9892457841107699,20.49077872298364,24.271928886630498,14.45972222909358,0.3847951318458418,198.0,1283.8541666666667,789.8333333333334,657.8541666666666,144,112,32,14852,82,5379,0,0,0,0,32,0.7891706602768903,0.7149791955617198,0.9471179446219382,0.8580775492974733,2.0508852502662407,1.8580775492974733,0.46180933062880325,0.759437729620361,0.0,2.0,3.0,11,18781
sinusoidal_amp_025,6,20260634,60817,29745,3218,6946,20908,18809,18855,9258,7009,6810,23077,79.6504812831479,47.960463251766576,8389.382035023762,48.38794202214681,3913.004222865293,0.9903130634806524,20.44103527127638,24.25173341916479,14.221590150937125,0.37944982488448953,192.875,1267.0208333333333,786.25,647.3333333333334,121,89,32,14782,72,5419,0,0,0,0,32,0.7758278702302908,0.7000879774292389,0.9364262901327954,0.8450080393168098,2.044612539922676,1.8450080393168098,0.45799694164460597,0.7543197405497368,0.0,2.0,3.0,10,18809
sinusoidal_amp_025,7,20260635,60150,29565,3116,6733,20736,18861,18706,8975,6813,6709,22497,78.59297632699882,46.903405201429955,8424.530720131545,46.8896902642039,3838.262590434413,0.9902990976740389,20.21549898936833,23.870481511506473,14.112163948733421,0.3740149625935162,186.97916666666666,1253.125,784.4375,637.1875,123,91,32,14929,85,5327,0,0,0,0,32,0.760933536276002,0.6883816284691411,0.9291053610688313,0.8405189559682996,2.034500253678336,1.8405189559682997,0.4566749792186201,0.7518689358994751,0.0,2.0,3.0,9,18861
sinusoidal_amp_025,8,20260636,61275,29860,3012,7128,21275,18472,18746,9558,7179,7253,23990,81.49833144096381,49.8958256296857,8137.746736841097,49.50287388556734,3951.6406381207466,0.9875783066024688,21.10402347515108,25.24917953328742,14.673243226225765,0.3915136678906569,199.125,1276.5625,776.7708333333334,654.4791666666666,120,88,32,14621,73,5361,0,0,0,0,32,0.803415941058272,0.729800438062789,0.9512056262558607,0.8640484302750061,2.052076356329538,1.864048430275006,0.46353325173398613,0.7774469467301862,0.0,2.0,3.0,11,18472
sinusoidal_amp_025,9,20260637,60647,29583,3003,6934,21127,18636,18653,9280,7024,6989,23293,80.27001429672097,48.652148944504965,8236.696562317193,47.39691890786268,3896.4026668387237,0.9880582922567266,20.796839196475283,24.68545524788967,14.571681254553198,0.38407505729879465,193.33333333333334,1263.4791666666667,778.2083333333334,647.1666666666666,116,84,32,14729,96,5193,0,0,0,0,32,0.7873778859480107,0.7148161787270607,0.9485515329750195,0.8611366844657214,2.0500625359158975,1.8611366844657216,0.4626939502366152,0.7747907276239536,0.0,2.0,3.0,10,18636
