t,q,b,rS,rL
0.0,0.0,0.0,0.0,0.0
0.1,24.186365144358742,19.41608623784808,0.0,19.35417650049766
0.2,26.274452036414303,50.70602674463178,0.0,50.31504310175201
0.30000000000000004,27.06576180057611,83.48341002162759,0.0,82.44929201556477
0.4,27.772373956160724,117.13193703894638,0.0,115.13336620668804
0.5,28.460959453310043,151.6013890533987,0.0,148.31226874700164
0.6000000000000001,29.131312736547184,186.86953631908426,0.0,181.959348142242
0.7000000000000001,29.779451074635382,222.9108216226178,0.0,216.04490534220062
0.8,30.401336239527375,259.6947170630492,0.0,250.53459151286862
0.9,30.993122795374457,297.18585444819786,0.0,285.38958376005024
1.0,31.551201705426827,335.3442960762884,0.0,320.5668986099548
1.1,32.07543779922042,374.12315026568683,0.0006565173096496579,356.0177033977488
1.2000000000000002,32.87994422502226,413.11975495909365,0.11225905617504676,391.458385388421
1.3,33.90942530175673,452.07103712713786,0.4399996512087365,426.7845911294155
1.4000000000000001,34.98349488412989,490.977049444439,0.9598812533491774,462.03615886648737
1.5,36.02852841816545,529.8378445243967,1.622735134844643,497.2159146711151
1.6,37.00664512759771,568.6534749192629,2.378228623231128,532.3103882331473
1.7000000000000002,37.89356143783981,607.423993120212,3.1812467885396933,567.2970649994669
1.8,38.671511404566175,646.1494515574124,3.993040488699126,602.1474013637461
1.9000000000000001,39.32684181821753,684.8299026000975,4.7809133905195385,636.8284535482223
2.0,39.8490809089695,723.4653985566362,5.517579408360717,671.3040094290001
2.1,40.230489563432855,762.055991674604,6.180515698334477,705.535507409169
2.2,40.46578404731913,800.6017341408526,6.751392660436441,739.4828382747847
2.3000000000000003,40.55192927602814,839.1026780815813,7.215590805152044,773.105066268843
2.4000000000000004,40.487967186115455,877.5588755624078,7.561795032715007,806.361085722998
2.5,40.27486572139619,915.970378588438,7.781653162004885,839.2102222101609
2.6,39.91538108990574,954.337239104337,7.869486245829873,871.6127838953996
2.7,39.41392873263672,992.6595089943985,7.822039951225412,903.5305669391513
2.8000000000000003,38.77645979642027,1030.9372400826157,7.638268087386347,934.9273176046771
