replication,seed,metric,full,light,difference,percent_difference
0,2026,mean_Q,11.849294180208867,11.951293840578543,0.10199966036967645,0.8608078997653723
0,2026,mean_B,1056.5460186496705,1052.4584120952795,-4.087606554390959,-0.3868839106142453
0,2026,mean_RS,0.058235538500107396,0.1968960284730838,0.1386604899729764,238.10287248004184
0,2026,mean_RL,121.12848432212033,130.76804413996834,9.63955981784801,7.9581279925977295
0,2026,final_Q,10.0,12.0,2.0,20.0
0,2026,final_B,1657.0,1667.0,10.0,0.6035003017501509
0,2026,final_RS,0.0,0.0,0.0,0.0
0,2026,final_RL,175.0,164.0,-11.0,-6.2857142857142865
1,2027,mean_Q,12.1517733656816,11.903739661992589,-0.24803370368901057,-2.0411317445196464
1,2027,mean_B,1056.4270884390482,1059.4601492210024,3.033060781954191,0.28710554804456695
1,2027,mean_RS,0.0,0.08907431686809048,0.08907431686809048,inf
1,2027,mean_RL,143.642383229892,121.078250280984,-22.56413294890801,-15.708548160743973
1,2027,final_Q,16.0,10.0,-6.0,-37.5
1,2027,final_B,1713.0,1686.0,-27.0,-1.5761821366024518
1,2027,final_RS,0.0,0.0,0.0,0.0
1,2027,final_RL,181.0,167.0,-14.0,-7.734806629834254
2,2028,mean_Q,10.9988679691342,11.894386290453683,0.895518321319484,8.141913548126505
2,2028,mean_B,1052.803205842982,1104.4002875210367,51.59708167805479,4.900923685613295
2,2028,mean_RS,0.0054606565543868155,0.07534575497471678,0.06988509842032997,1279.792964898842
2,2028,mean_RL,123.02207386307654,135.72779943785542,12.705725574778882,10.328004703383835
2,2028,final_Q,13.0,17.0,4.0,30.76923076923077
2,2028,final_B,1650.0,1738.0,88.0,5.333333333333334
2,2028,final_RS,0.0,0.0,0.0,0.0
2,2028,final_RL,171.0,173.0,2.0,1.1695906432748537
3,2029,mean_Q,12.254131375581643,11.878348462595348,-0.3757829129862955,-3.0665813958474795
3,2029,mean_B,1092.772430111156,1071.9215201685759,-20.850909942580074,-1.9080743042226216
3,2029,mean_RS,0.06326152632446494,0.12366290450334361,0.06040137817887867,95.47885055615521
3,2029,mean_RL,124.18976246116617,130.63180416551242,6.442041704346252,5.187256643928812
3,2029,final_Q,15.0,16.0,1.0,6.666666666666667
3,2029,final_B,1758.0,1721.0,-37.0,-2.1046643913538112
3,2029,final_RS,0.0,1.0,1.0,inf
3,2029,final_RL,165.0,184.0,19.0,11.515151515151516
4,2030,mean_Q,11.68998369625677,11.65941452677996,-0.03056916947680932,-0.2614988204525711
4,2030,mean_B,1071.2498716703185,1051.6894830509293,-19.560388619389187,-1.8259408133127857
4,2030,mean_RS,0.08540031590476417,0.05034480483506172,-0.03505551106970245,-41.04845596683189
4,2030,mean_RL,128.8213865340176,135.70430338006918,6.882916846051586,5.342992364264011
4,2030,final_Q,18.0,15.0,-3.0,-16.666666666666664
4,2030,final_B,1669.0,1673.0,4.0,0.2396644697423607
4,2030,final_RS,0.0,0.0,0.0,0.0
4,2030,final_RL,173.0,192.0,19.0,10.982658959537572
5,2031,mean_Q,11.570480327200352,11.200304508421228,-0.3701758187791242,-3.1993124599062663
5,2031,mean_B,1082.0192205196984,1097.830272424338,15.811051904639726,1.4612542554508052
5,2031,mean_RS,0.02057763175779229,0.0,-0.02057763175779229,-100.0
5,2031,mean_RL,126.7139236661076,124.95960702669338,-1.7543166394142276,-1.3844703002306744
5,2031,final_Q,20.0,15.0,-5.0,-25.0
5,2031,final_B,1668.0,1681.0,13.0,0.7793764988009593
5,2031,final_RS,0.0,0.0,0.0,0.0
5,2031,final_RL,166.0,165.0,-1.0,-0.6024096385542169
6,2032,mean_Q,11.70245300408687,12.256162701758797,0.5537096976719269,4.731569504945278
6,2032,mean_B,1088.236952596127,1082.8453056286103,-5.391646967516635,-0.4954478851921155
6,2032,mean_RS,0.004681279156701805,0.07828972301281184,0.07360844385611004,1572.4002220788486
6,2032,mean_RL,130.96356297996616,122.38426460008812,-8.57929837987804,-6.550904835408638
6,2032,final_Q,20.0,16.0,-4.0,-20.0
6,2032,final_B,1751.0,1760.0,9.0,0.5139920045688178
6,2032,final_RS,0.0,1.0,1.0,inf
6,2032,final_RL,175.0,161.0,-14.0,-8.0
7,2033,mean_Q,11.825436336726487,12.200553454766714,0.37511711804022774,3.172120734989027
7,2033,mean_B,1073.5543938336677,1086.7432440056957,13.18885017202797,1.2285218380906182
7,2033,mean_RS,0.003912169324777465,0.12134141283911007,0.1174292435143326,3001.6401072060526
7,2033,mean_RL,131.17628094841106,124.12736164968535,-7.048919298725707,-5.373623377459453
7,2033,final_Q,19.0,16.0,-3.0,-15.789473684210526
7,2033,final_B,1656.0,1705.0,49.0,2.9589371980676327
7,2033,final_RS,0.0,0.0,0.0,0.0
7,2033,final_RL,192.0,175.0,-17.0,-8.854166666666668
8,2034,mean_Q,11.235884504103588,12.074202928622745,0.8383184245191568,7.46108082735262
8,2034,mean_B,1092.054297569128,1104.927393558921,12.873095989793,1.1787963307729323
8,2034,mean_RS,0.0,0.06472046721544032,0.06472046721544032,inf
